connector,pin,board_signal,soc_ball,bank_group,voltage,kind,source
J15,28,IO2_13P,J12,25/26,3.3,gpio,ALINX_AXU2CG_UG_REV1_20210408_PP20_22
J15,29,IO2_14N,J14,25/26,3.3,gpio,ALINX_AXU2CG_UG_REV1_20210408_PP20_22
J15,30,IO2_14P,K14,25/26,3.3,gpio,ALINX_AXU2CG_UG_REV1_20210408_PP20_22
J15,31,IO2_15N,K12,25/26,3.3,gpio,ALINX_AXU2CG_UG_REV1_20210408_PP20_22
J15,32,IO2_15P,K13,25/26,3.3,gpio,ALINX_AXU2CG_UG_REV1_20210408_PP20_22
J15,33,IO2_16N,L13,25/26,3.3,gpio,ALINX_AXU2CG_UG_REV1_20210408_PP20_22
J15,34,IO2_16P,L14,25/26,3.3,gpio,ALINX_AXU2CG_UG_REV1_20210408_PP20_22
J15,35,IO2_17N,G10,25/26,3.3,gpio,ALINX_AXU2CG_UG_REV1_20210408_PP20_22
J15,36,IO2_17P,H11,25/26,3.3,gpio,ALINX_AXU2CG_UG_REV1_20210408_PP20_22
J15,37,GND,,,0,ground,ALINX_AXU2CG_UG_REV1_20210408_PP20_22
J15,38,GND,,,0,ground,ALINX_AXU2CG_UG_REV1_20210408_PP20_22
J15,39,VCC_3V3_BUCK4,,,3.3,power,ALINX_AXU2CG_UG_REV1_20210408_PP20_22
J15,40,VCC_3V3_BUCK4,,,3.3,power,ALINX_AXU2CG_UG_REV1_20210408_PP20_22
